Food Names,Serving Size,Size Name,Calories (Kcal),Fat (g),Chol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
Bon To Go - Cheese & Fruit,6.8 oz (195g),,390,25,70,590,31,2,16,14
"Bon To Go - Fruit, Eggs & Nuts",9.3 oz (265g),,500,35,195,320,30,5,19,21
Bon To Go - Hard Boiled Eggs,3.1 oz (88g),,140,9,330,110,1,0,1,11
Bon To Go - Hummus,6 oz (170g),,300,14,0,670,37,4,5,8
Bon To Go - Turkey & Cheddar Picnic,10 oz (283g),,590,23,80,1510,66,3,12,31
Chocolate Covered Almonds,3 oz (85g),,450,30,0,70,46,5,39,7
Fresh Grapes,8 oz. (227g),,160,0,0,0,41,2,35,2
Fruit Cup,12 oz (340g),Large,140,0.5,0,30,36,2,32,2
Fruit Cup,6 oz (170g),Medium,70,0,0,15,18,1,16,1
Strawberry Fruit Cup,5.1 oz (145 g),,45,0,0,0,11,3,7,1
Watermelon Fruit Cup,8 oz (227g),,70,0,0,0,17,1,14,1
Signature Granola,6 oz (170g),,720,36,25,180,89,11,35,16
Cape Cod Reduced Fat Sweet Mesquite BBQ Potato Chips,1.375 oz (39g),,180,8,0,190,26,2,2,3
Cape Cod Sea Salt & Vinegar Potato Chips,1.5 oz (42g),,220,10,0,390,28,1,0,3
Cape Cod Original Potato Chips,1.5 oz (42g),,220,12,0,160,25,2,0.5,3
Multigrain Sun Chips,1.5 oz (42g),,210,9,0,170,28,4,3,3
Mixed Nuts,2.6 oz (74g),,430,36,0,140,18,6,3,14
Overnight Oats,8 oz (227g),,410,13,5,40,61,8,20,15
Blueberry Yogurt & Wild Blueberry Parfait,10.2 oz (289g),,370,9,15,170,65,3,45,11
Greek Vanilla Yogurt & Wild Blueberry Parfait,10.2 oz (289g),,320,8,20,115,44,4,31,23
Greek Vanilla Yogurt & Strawberry Parfait,11.3 oz (320 g),,330,8,20,115,45,5,32,23
Caesar Asiago,6.5 oz (184g),,160,7,15,290,19,4,2,8
Chicken Caesar Asiago,9.6 oz (272g),,260,8,70,580,21,4,3,27
Chicken Cobb with Avocado,14.8 oz (421g),,430,24,250,1080,16,5,7,39
Chef Salad,9.9 oz (281g),,280,13,75,1310,10,3,6,29
Side Garden,8.5 oz (241g),,50,0,0,35,11,4,5,2
Southwest Chicken,16.1 oz (456g),,310,9,60,530,31,10,10,27
Mediterranean Salad,13.4 oz (381g),,350,24,25,740,24,8,7,12
ABP Croutons,1 oz (28g),,90,2.5,0,140,14,1,1,3
Chili Lime Vinaigrette,1.5 fl oz (44 mL),,120,10,0,340,8,0,7,0
Ranch Dressing,1.5 fl oz (44 mL),,200,20,20,300,4,0,2,1
Caesar Dressing,1.5 fl oz (44 mL),,220,24,20,350,1,0,0,2
Balsamic Vinaigrette,1.5 fl oz (44 mL),,100,9,0,400,5,0,3,0
Green Goddess Dressing,1.5 fl oz (44 mL),,210,22,15,320,3,0,2,1
Lemon Vinaigrette,1.5 fl oz (44 mL),,170,16,0,400,8,0,6,0
12 Veggie Soup,16 fl oz (480 mL),Large,240,8,0,1200,36,5,14,6
12 Veggie Soup,12 fl oz (360 mL),Medium,180,6,0,900,27,4,11,4
12 Veggie Soup,8 fl oz (240 mL),Small,120,4,0,600,18,2,7,3
Baked Stuffed Potato Soup,16 fl oz (480 mL),Large,510,33,85,1400,46,4,2,9
Baked Stuffed Potato Soup,12 fl oz (360 mL),Medium,390,24,65,1050,34,3,2,7
Baked Stuffed Potato Soup,8 fl oz (240 mL),Small,260,16,45,700,23,2,1,5
Broccoli Cheddar Soup,16 fl oz (480 mL),Large,450,32,80,1390,27,4,7,14
Broccoli Cheddar Soup,12 fl oz (360 mL),Medium,340,24,60,1040,20,3,6,10
Broccoli Cheddar Soup,8 fl oz (240 mL),Small,220,16,40,690,13,2,4,7
Chicken Noodle Soup,16 fl oz (480 mL),Large,160,3.5,40,1370,20,2,3,10
Chicken Noodle Soup,12 fl oz (360 mL),Medium,120,2.5,30,1030,15,1,3,8
Chicken Noodle Soup,8 fl oz (240 mL),Small,80,2,20,690,10,1,2,5
Clam Chowder,16 fl oz (480 mL),Large,460,26,75,1490,42,3,12,15
Clam Chowder,12 fl oz (360 mL),Medium,350,20,55,1120,32,2,9,11
Clam Chowder,8 fl oz (240 mL),Small,230,13,40,740,21,1,6,7
Italian Wedding Soup,16 fl oz (480 mL),Large,210,10,25,1110,20,3,5,10
Italian Wedding Soup,12 fl oz (360 mL),Medium,160,7,20,830,15,2,4,8
Italian Wedding Soup,8 fl oz (240 mL),Small,100,5,15,560,10,1,2,5
Lemon Orzo Chicken Soup,16 fl oz (480 mL),Large,310,16,65,1590,26,2,3,16
Lemon Orzo Chicken Soup,12 fl oz (360 mL),Medium,230,12,50,1190,20,1,3,12
Lemon Orzo Chicken Soup,8 fl oz (240 mL),Small,150,8,30,790,13,1,2,8
Lobster & Corn Bisque,16 fl oz (480 mL),Large,370,22,90,1470,33,2,6,12
Lobster & Corn Bisque,12 fl oz (360 mL),Medium,280,16,65,1100,25,1,4,9
Lobster & Corn Bisque,8 fl oz (240 mL),Small,190,11,45,740,17,1,3,6
Southwest Tortilla Soup,16 fl oz (480 mL),Large,240,12,15,1090,32,3,7,5
Southwest Tortilla Soup,12 fl oz (360 mL),Medium,180,9,10,810,24,3,5,4
Southwest Tortilla Soup,8 fl oz (240 mL),Small,120,6,10,540,16,2,3,2
Tomato Basil Bisque,16 fl oz (480 mL),Large,320,14,50,500,40,3,22,9
Tomato Basil Bisque,12 fl oz (360 mL),Medium,240,11,40,380,30,2,17,7
Tomato Basil Bisque,8 fl oz (240 mL),Small,160,7,25,250,20,1,11,4
Vegetable Beef Barley,16 fl oz (480 mL),Large,210,4.5,35,920,30,5,8,14
Vegetable Beef Barley,12 fl oz (360 mL),Medium,150,3.5,25,690,22,3,6,11
Vegetable Beef Barley,8 fl oz (240 mL),Small,100,2.5,20,460,15,2,4,7
Vegetarian Minestrone,16 fl oz (480 mL),Large,150,1.5,0,1400,29,5,9,6
Vegetarian Minestrone,12 fl oz (360 mL),Medium,120,1,0,1050,22,4,7,5
Vegetarian Minestrone,8 fl oz (240 mL),Small,80,0.5,0,700,15,3,4,3
Macaroni and Cheese,16 fl oz (480 mL),Large,1170,57,195,1470,122,4,5,40
Macaroni and Cheese,12 fl oz (360 mL),Medium,880,43,145,1100,92,3,4,30
Macaroni and Cheese,8 fl oz (240 mL),Small,590,29,95,730,61,2,2,20
Turkey Chili,16 fl oz (480 mL),Large,450,12,40,900,59,21,8,26
Turkey Chili,12 fl oz (360 mL),Medium,330,9,30,680,44,15,6,19
Turkey Chili,8 fl oz (240 mL),Small,220,6,20,450,29,10,4,13
